,0
rms_0_mean,0.010407977331944067
rms_0_std,0.007515525458134969
zcr_0_mean,0.02687201010850607
zcr_0_std,0.009580475220115322
centroid_0_mean,1004.9603243893074
centroid_0_std,275.96654910095043
bandwidth_0_mean,1651.522405237363
bandwidth_0_std,528.328622315257
rolloff_0_mean,1398.1342526791104
rolloff_0_std,631.651532594586
flatness_0_mean,0.013813117519021034
flatness_0_std,0.11641327291727066
flux_0_mean,0.009598389267921448
flux_0_std,0.01147119514644146
osc_valley_0_mean,-0.6359127166433483
osc_valley_0_std,1.1535481562738954
osc_valley_1_mean,-0.6140709394004427
osc_valley_1_std,1.2139126752183351
osc_valley_2_mean,-0.7328873409458275
osc_valley_2_std,1.2074592843243168
osc_valley_3_mean,-0.8782917999813524
osc_valley_3_std,1.1807103433399473
osc_valley_4_mean,-1.5651313549781167
osc_valley_4_std,1.1038974826010388
osc_valley_5_mean,-2.355423742974557
osc_valley_5_std,0.9744149230630453
osc_valley_6_mean,-3.014497007995478
osc_valley_6_std,0.8486426120614572
osc_valley_7_mean,-4.329642940128946
osc_valley_7_std,0.6702615025908476
osc_contrast_0_mean,0.40532346666651775
osc_contrast_0_std,0.3261745636877097
osc_contrast_1_mean,0.2232628453172301
osc_contrast_1_std,0.1916487648616223
osc_contrast_2_mean,0.5682300303407806
osc_contrast_2_std,0.27772106234856886
osc_contrast_3_mean,1.058930808473134
osc_contrast_3_std,0.40792956400958535
osc_contrast_4_mean,1.1710090356829794
osc_contrast_4_std,0.3517217853118566
osc_contrast_5_mean,1.2185675738377422
osc_contrast_5_std,0.318882504996992
osc_contrast_6_mean,0.8699437072617415
osc_contrast_6_std,0.27260404579580266
osc_contrast_7_mean,1.7799964481303092
osc_contrast_7_std,0.242637333703288
low_energy_ratio,0.6077010800295163
hlcr,0.6455458659896165
mfcc_0_mean,-531.1594848632812
mfcc_0_std,59.019317626953125
mfcc_1_mean,188.6020965576172
mfcc_1_std,42.312740325927734
mfcc_2_mean,34.38970184326172
mfcc_2_std,25.241138458251953
mfcc_3_mean,-11.594791412353516
mfcc_3_std,15.931645393371582
mfcc_4_mean,-0.9266142845153809
mfcc_4_std,10.414875030517578
mfcc_5_mean,0.7474692463874817
mfcc_5_std,9.875018119812012
mfcc_6_mean,-4.993871688842773
mfcc_6_std,8.337625503540039
mfcc_7_mean,-6.227873802185059
mfcc_7_std,7.567501544952393
mfcc_8_mean,-4.278695583343506
mfcc_8_std,8.027448654174805
mfcc_9_mean,-4.153198719024658
mfcc_9_std,8.011143684387207
mfcc_10_mean,-4.207157611846924
mfcc_10_std,8.527567863464355
mfcc_11_mean,-1.188117504119873
mfcc_11_std,11.12845230102539
mfcc_12_mean,2.412511110305786
mfcc_12_std,15.177704811096191
d_mfcc_0_mean,1.1911620276805479e-05
d_mfcc_0_std,3.4397497177124023
d_mfcc_1_mean,1.683308437350206e-05
d_mfcc_1_std,2.319545269012451
d_mfcc_2_mean,1.680455170571804e-05
d_mfcc_2_std,1.5871217250823975
d_mfcc_3_mean,1.675714520388283e-05
d_mfcc_3_std,1.2704603672027588
d_mfcc_4_mean,1.6690675693098456e-05
d_mfcc_4_std,1.0927330255508423
d_mfcc_5_mean,1.6605268683633767e-05
d_mfcc_5_std,1.0336557626724243
d_mfcc_6_mean,1.650259036978241e-05
d_mfcc_6_std,0.9598613381385803
d_mfcc_7_mean,1.63832119142171e-05
d_mfcc_7_std,0.9286315441131592
d_mfcc_8_mean,1.624413016543258e-05
d_mfcc_8_std,0.9630966782569885
d_mfcc_9_mean,1.6085537936305627e-05
d_mfcc_9_std,0.9489622116088867
d_mfcc_10_mean,1.591254840604961e-05
d_mfcc_10_std,1.015265703201294
d_mfcc_11_mean,1.5723695469205268e-05
d_mfcc_11_std,1.0855255126953125
d_mfcc_12_mean,1.5517631254624575e-05
d_mfcc_12_std,1.2780934572219849
chroma_cqt_0_mean,0.27407899498939514
chroma_cqt_0_std,0.2672179341316223
chroma_cqt_1_mean,0.11750099807977676
chroma_cqt_1_std,0.07644032686948776
chroma_cqt_2_mean,0.2482687383890152
chroma_cqt_2_std,0.2464117407798767
chroma_cqt_3_mean,0.21491055190563202
chroma_cqt_3_std,0.21380451321601868
chroma_cqt_4_mean,0.6059045195579529
chroma_cqt_4_std,0.33815518021583557
chroma_cqt_5_mean,0.1598748117685318
chroma_cqt_5_std,0.17054763436317444
chroma_cqt_6_mean,0.12568299472332
chroma_cqt_6_std,0.09681300073862076
chroma_cqt_7_mean,0.544622540473938
chroma_cqt_7_std,0.2636442482471466
chroma_cqt_8_mean,0.26029083132743835
chroma_cqt_8_std,0.2017732858657837
chroma_cqt_9_mean,0.471560537815094
chroma_cqt_9_std,0.3835790455341339
chroma_cqt_10_mean,0.16030557453632355
chroma_cqt_10_std,0.1865561455488205
chroma_cqt_11_mean,0.27374234795570374
chroma_cqt_11_std,0.256375253200531
chroma_cens_0_mean,0.17529956996440887
chroma_cens_0_std,0.1906137615442276
chroma_cens_1_mean,0.01969718746840954
chroma_cens_1_std,0.04875025153160095
chroma_cens_2_mean,0.15604406595230103
chroma_cens_2_std,0.1836433708667755
chroma_cens_3_mean,0.12473662942647934
chroma_cens_3_std,0.15116608142852783
chroma_cens_4_mean,0.4600217342376709
chroma_cens_4_std,0.2167508900165558
chroma_cens_5_mean,0.06718502938747406
chroma_cens_5_std,0.12938150763511658
chroma_cens_6_mean,0.026242395862936974
chroma_cens_6_std,0.07154493033885956
chroma_cens_7_mean,0.4662509262561798
chroma_cens_7_std,0.13607332110404968
